,Comments
1418,This course increase my skill knowledge and should help make my job more understandable
1419,"All instructors were great. I really enjoyed the way they broke everything down. Also, each instructor kept reminding us of what we learned in the last lesson."
1420,"Gary Butler did a great job at teaching the class, even thought he was only an A-lead he primarily was our main teacher. His enthusiasm and love for the career was very easy to see from day one. Gary always said if you give us 100% we will give you 150% back, which couldn't be said"
1421,I don't feel the course was long enough to properly cover all the material or to allow a sufficient amount of lab time. Materials were good.
1422,"I'm not going to get specific. Just keep doing exactly what you are doing. This class really has been one of the most straight to the point, no fluff classes. I heard this from colleagues prior to coming down here and I will say the same thing, as we have another guy headed down he"
1423,Class was effective and taught the basics of how to build the departures.
1424,more lessons on reading the radar screen and the equipment would be helpful.
1425,Tim and Rainer were AWESOME
1426,Add more practice questions/activities in the book.
1427,It was nice to have an instructor who had been in the field. He was able provided real world examples to show the importance of what we were learning. I feel like that was a very important part of the course.
1428,Instructors were great...knowledgeable and helpful
1429,Course was well delivered and informative. I have not yet had the opportunity to perform an En Route inspection.
1430,A++++++++
1431,Instructors were very knowledgeable and helpful. No complaints.
1432,Good
1433,Overall I was impressed by the course and the instructors. The instructors did a fantastic job of running the course in a way that enhanced my knowledge while making the learning environment fun. The 3 week course had an immense amount of subject to cover and the instructors did we
1434,Great instructors
1435,"Less time in basics, lots of wasted time there that could have been used for more TSS simulations."
1436,Mike Hakim is great
1437,"Take controller judgment away. Students are not being judged on their own experiences or techniques, but the instructors."
1438,A lot of material jammed in a small amount of time
1439,"The overall course was good. The addition of the flight check brief helped understand the ""big picture"" better."
1440,My lab instructors were great.
1441,Besides not following the class syllabus. The study materials followed well in accordance with the lectures. Surprised when exam was given earlier than the date on the syllabus.
1442,"Course was very fast paced, sometimes too fast on subjects that needed a little more attention. Non-radar practice problems could have been a little harder to better prepare us for evaluations. Radar scope 1 in the radar lab was sometimes hard to read because of glare and what look"
1443,Overall the course was very straightforward. I do think that the SOP's should be introduced way earlier than they are. Going over the SOP's a week or so before entering the lab and then not doing the worksheets until around Day 49ish just seems really late. It didn't really hamper
1444,I feel like the best thing the FAA could do to help out students on this course would be to add more lab time. If we could somehow add at least a day or two to radar I'd be willing to bet that it would help the lackluster pass rate increase.
1445,"Overall, our instructors were great! Very helpful."
1446,"Finally, after 10 years, was able to obtain training. Learned many shortcuts and know what I have to do to fix when I return to my office."
1447,Overall this was a very good course. It gave me an understanding of the overall VORTAC systems.
1448,"More lab tab should be built into the course due to the lack of equipment availability to most technicians in the field. also adding the TPR portion back into course would be helpful, especially with all of the confusion with the e-TPR program."
1449,"Very disappointed with the topic of the course, not what I expected. Specifically it was not what I wanted or needed. I had believed this would be a class on the technical aspects of the duties of a principal inspectors and found out it was about interpersonal relations. I became c"
1450,A lot of information was crammed into the session. Another day would be better to spend more time on subject matter instead of rushing through it.
1451,The course was overall good. Perhaps the first 2 weeks could have been completed at home and weeks 3-5 in class (OKC). Linux and networking was good for hands on portions but the earlier information seemed a bit unnecessary to learn in person.
1452,The slides really need to be updated and the flow changed.
1453,"The course did a good job teaching the concepts as designed. There are people from many different backgrounds and different related jobs. It's probably not practical, but it would be nice to have a short follow on class that deals specifically with my job function and the computer"
1454,"While the course states that it is designed for off the street knowledge, it has a high ""assumed knowledge"" requirement. Being CTI was imperative."
1455,The instructor were knowledgeable and approachable. Presented to the class in a professional and interactive manner that provided good class chemistry. We enjoyed the additional narrative provided by Mr. Deck and his insight to flight check. The explanations were excellent and the
1456,"Since attaining the new hirer course, I think this course first 15 days should be only covered in the new hirer class. That can add more 5 days to the end of the new hirer class."
1457,Exelent
1458,This person is no longer my employee
1459,"Our A-Lead and Lead (Charlie/Mike) are both great instructors, especially together. The only big complaint I have about the row instructors is that they do not know how to grade us evenly. Each writes more or less, or just doesn't write much at all. Even when they do write they don"
1460,instructors were all very helpful
1461,"Again, I feel this was a very well presented course. It could have been a disaster for me if the instructors were not so helpful and knowledgeable."
1462,I haven't had a basic TERP's course in over 3 years and this course was instrumental in knocking off the rust.
1463,"Practical exercises were valuable, and a good start. This course would be most valuable if it were 3 weeks which would enable new inspectors to have solid POAs upon completion. The simulators are most useful for this course - just not enough time allotted. The short/insufficient ti"
1464,TARGETS DP training was well organized and structured for what we do.
1465,Enjoyed course very knowledgeable instructor
1466,Jay and Gary were both very knowledgeable about Aeronautical Charting and did a great job of presenting the material to students with a wide range of aviation experience. I enjoyed the course and definitely learned information that will assist me in performing my duties in Airport
1467,One more week running both radar and non radar scenarios would be very helpful. The timing between the ckts and evaluations is not conducive to material comprehension.
1468,"We had almost every instructor on your roster which was good for experience and learning names and faces but getting all these different teaching styles was a detriment to our learning. For future classes, please do a better job of scheduling ONE instructor for ONE class, so that t"
1469,Doc is a very knowledgeable instructor. He answered all my questions and looked up the information if needed. I look forward to my next String PAW class.
1470,Bob Enoch and Larry Ross were awesome! crowd management was a plus. Wish more sim time was included with the course to fully understand Nuances of NEXTGEN.
1471,you need to revamp this course
1472,"I really enjoyed this course. While I felt I had an understanding of basics from CTI and RPO experience, I was surprised how much of the material felt new. I'm glad I didn't opt out of the course. The instructors appeared to enjoy teaching the material and gave career advice above"
1473,"Coming off the streets, I felt like this course provided a solid background to get me up to speed and prepared for En Route school."
1474,The new style of course presentation and content is vastly improved. The information was presented in a way that is instantly transferrable to performing a job function. Moving to this new style format could benefit the work force in other classes.
1475,Great instructors and great content. George and Tim were exceptional. Only thing I would suggest is to label the exercise papers when it refers to them.
1476,All three instructors were great they kept the class attention and provided the needed levity to get through the dry material.
1477,Lewis could use a little more energy in his lectures.
1478,Our lead instructors for this course were great. Extremely knowledgeable and helpful. The row instructors were a mixed bag. Some instructors were insightful and patience and had a very positive impact on my learning experience. There were others however that were basically the oppo
1479,"The course teaches you the tools you need for the job, however some of the rules or procedures that were done at the Academy have almost no impact or need here at the center. Some of these things that were worth a fair amount of points during evals or that may have cost people pass"
1480,None
1481,Excellent. Were available for questions at any time.
1482,Good course overall.
1483,The content and presentation was concise and informative.
1484,None
1485,the instructors were very knowledgeable with the subject matter.The class was engage throughout the entire session by the instructors providing various techniques and methods of participation.
1486,Course was well organized.
1487,"Both Charlie and Mike were very knowledgeable and were able to teach in a manner that allowed the student to better understand the material. The lab instructors were more diverse in their opinions, but if Mike or Charlie taught us one way to handle a situation, they would let the o"
1488,"Jeff was great, his confidence in his instruction gives you no question in your mind that what you are learning is correct. His willingness to fight for the students is great and makes for a good learning environment. Dave was also a good instructor and provided good assistance to"
1489,"Mac was great. If someone was asking a question about a scenario and we haven't covered that topic yet, he would stop them and tell them that we will cover that later and that if he answered it at that point it would confuse everyone. Gary on the other hand will tell them the answe"
1490,Great Instructors!!!
1491,Excellent!!!!
1492,Really like the pace of the course. The instructors were very knowledgeable and loved to help us understand everything!
1493,The instructors in Radar were all great. That includes the lead instructors and the row/lab instructors. All of them were knowledgeable and helpful.
1494,The overall class content and material was good. I had no prior experience and felt I have learned a lot over the course. The material could have been more geared to En Route students vs. over all ATC.
1495,"I am very grateful for this course, material, and the way it is all carried out. I think it provides for a great, thorough, fast paced learning environment and I know I benefitted greatly from it."
1496,This is by for the best FAA class I have taken. The material was presented in a manner that was very easy to understand and it grabbed everyones attention. David and Cindy worked very well as a team and I would love to come back for a class with these two instructors. They were ver
1497,Dave Yerka is the best instructor I have had here at the academy. His enthusiasm and laid back approach creates a great learning environment that allows the student comprehend and absorb the material presented. Dave has exemplary knowledge of the equipment and his teaching style al
1498,"This class is very essential for a PI. However, regarding the scheduling of this class and many of the concepts and tools it provides, particularly with stress management and effective time management and triage, this class SHOULD BE provided to ASI's prior to becoming principals."
1499,Sandi Herbst and Walter Bogart are great facilitators.
1500,The staff of instructors is highlighted by the professionalism and commitment to alumno0s for the class is very objective.
1501,"At this stage of my career, I can gain little from the theory portion of this training. I feel that if I haven't learned to effectively communicate with other humans at this point in my life, I may simply not possess that ability. I recognize that it may be beneficial for others, b"
1502,Some instruction on Kindle use would have been helpful as some students were not familiar with them.
1503,"I wish we had more time in between block tests. there was one day that we covered a whole block book except for one lesson and had the test the following day. I felt I didn't grasp the material as best as I could have. The food in the ""laughter café"" is way too overpriced. my wall"
1504,I loved learning from most of our Instructors but I would tune out one of the instructors we had in our class room. You could tell that it hurt my ELTs and Block exams because I would not know the answers to the lessons he taught us.
1505,Very helpful
1506,One thing I thought could have used some alterations were the list of identifiers/airports we were given. Some airports were called or referred to another name then what is provided in the list of identifiers. It certainly added some confusion for me.I think the SOP could use more
1507,my instructors were great. rich and rich did a great job explaining all topics and im very glad they were my instructors for the course.
1508,"Ray is quite the instructor. When you have an instructor that is as knowledgeable as him, it makes for an easy and effective learning environment. Thanks Ray"
1509,EHOT/DOP should be brought back.
1510,Instructors knew the equipment very well and were always helpful.
1511,More emphasis on accuracy codes would be beneficial...other than that the course was great.
1512,The lead instructor Jeff was nothing but outstanding throughout the radar portion of the training. He has a thorough knowledge of air traffic control and can provide excellent methodology when solving air traffic situations. The only thing I can say is that I do wish there was a mo
1513,I feel the instructors did the best they could with the limited amount of time they had to teach this complex course.
1514,"Another great course with 4 more left. Looking forward to the training, glad to be with the FAA."
1515,"Richard & Tom were outstanding in the discharge of there duties. Both always had time for a question, explanation or request for help. I thoroughly enjoyed this class having them both as instructors."
1516,"Please read Part 2, comment one. Instructors were outstanding."
1517,All the instructors were well prepared and did a great job with the presentations.
1518,With the start of my second career being the Teaching Administrator and the one that will be administering the training now at my facility I felt this was an awesome course for me to have in my training bag.
1519,Excellent. He challenged us at the appropriate times to ensure learning.
1520,The course was well organized and utilized the latest edition of computer software required to complete the associated lab exercises. Course content adequately addressed the course objectives.
1521,Mr. Currie was extremely knowledgeable and helpful.
1522,"Electronic manual is much more useful for me to use. I do find problem with searching in One Note. It does not list all of the search word. For example I searched for ""recharge"" and it never took me to the right page for the information. I found it manually by using the index."
1523,Experienced instructors.
1524,I wish there had been an extra few days running non-radar problems.
1525,"there needs to be a definitive study material for the ckt. the evaluators when we run our practice scenarios should get together before hand and discuss how the want the class to handle the problem, because all the different evaluators are contradicting the ways they tell us to exe"
1526,Technically I was told that I needed the course to access the data for PDC Data extractions. I told the instructors of the course that it was a significant waste for someone to have to travel and sit through a three day course for a job task that requires three keystrokes. I explai
1527,The course manager seemed somewhat detached and lack much enthusiasm. He was definitely not giving 100%.
1528,"Really liked the labs! The classroom material gets a bit dry, but the lab brings it back around."
1529,"The content, material organization, and labs were very helpful and informative to my duties and responsibilities as a POI."
1530,"Course was very informational, current and relevant. Presented in a well organized, logical manner, that made it easy to follow."
1531,I did not like the U-shaped desk layout. I would rather have a traditional layout with a 48 inch desk layed out in rows. On person always had to move around the room to get to his work cubicle. The layout worked well for lecture but some students had to turn around to look at some
1532,Employee was scheduled for class but didn't attend due to scheduled leave.
1533,great job..
1534,None
1535,"All instructors were knowledgeable, patient, and easy to work with."
1536,"It would be great if the hot links from the slides were active from the student desktops. Also, for day 1, when showing the features of WebOPSS, it would be much more effective if the actual WebOPSS program were used, instead of PowerPoint slides. If you are going to use the PowerP"
1537,Course was definitely intense. Felt overwhelming at first. But the instructors did a good job repeating and answering all questions we had.
1538,"This is my favorite class to go to as a good booster to my knowledge, or a refresher. I always look forward to this one."
1539,The instructors were excellent and sincere. I felt like they really cared about the material. They have a wealth of knowledge and I feel fortunate to have been in this course.
1540,I felt the course was ran timely and efficiently.
1541,It is hard to provide this critique because of the fact that we had 7 or more instructors. Most were very knowledgeable and friendly.
1542,"Over all the instructors were all very helpful in one way or another but I will make Phil, Glen, Tim & Rick stand out because you can really feel they are passionate and dedicated to helping us and guiding us to success"
1543,Mark and GQ are absolutely amazing. I'm very happy to have these guys as my leads and have learned so much. These two made us feel like home.
1544,"Instructors were great! The only negative comment I would have, is having multiple instructors throughout the course. It was hard at sometimes because of all the different teaching styles. Overall though, they all did a great job in helping me succeed."
1545,Remove last presentation.
1546,"For the scenario based exercises, I felt not quite prepared enough. However, the intent was achieved and I wish there was more time available to practice administering oral and flight simulator. These exercises were extremely valuable to me, especially the part 135 scenarios, where"
1547,"1. The course is too short for the level of impact the design tool plays, will play, in the national airspace development. 2. The course should be at a minimum 5-days and an off-site course to prevent student distractions from workplace responsibilities.3. An advanced course 1 or 2"
1548,Instructor Most did an outstanding job explaining any questions we had.
1549,Excellent and appropriate
1550,The instructors were very knowledgeable and presented the materials in a very structured fashion.
1551,The course was very informative and the use of the SIM presentation was Great!
1552,Awesome!
1553,This course may be better served via eLMS and Adobe Connect instead of travel to OKC.
1554,I am a CADRE and as such was my duty at this offering.
1555,"Too much time spent on classroom discussion. Not enough lab time. Lab rooms not available to for after class study. Some of the instructors I had were very nice and helpful, where as some were very condescending and not helpful."
1556,AShley Bueno is not my employee.
1557,Lessons were stretched out and took more time than they needed to be.
1558,"More practice in the TSS labs, without the instructors help."
1559,"Instructors were great, very knowledgeable and helpful."
1560,Delete the interpersonal skills portion of the course and add course content that will improve the technical skills of a principal inspector.
1561,Instruction was outstanding
1562,Jose is an excellent instructor - his teaching style is very effective!
1563,"Although some of the course material was in the process of being updated, the instructors were able to improvise somewhat. This improvising resulted in a course that was still effective despite the needed updates."
1564,Would be helpful if the class would address interlock issues. That seems to be the most reoccurring issue in the field.
1565,"Course should have taught the current criteria, not the old criteria."
1566,"Instructors have been good overall. Lead instructors have been helpful, but seems that the row instructors need more training. Everyday it seemed row instructors were saying what you can do and can't do and it contradicted the row instructor from the previous day. Everyone has thei"
1567,None
1568,The instructor's experience and enthusiasm kept the course interesting. Thanks!
1569,Both instructors made for an enjoyable class.
1570,CONTENT OF THE COURSE WAS EXCELLENT AND ORGANIZED APPROPRIATLY
1571,Instructors where very knowledgeable and did a great job teaching
1572,Thank You.
1573,"Good content, like the WBT day and more importantly the Airbus A330 orientation session."
1574,"As a member of Flight Procedures Team, I felt like our aspect of the OE process was virtually side stepped all together. I can mostly understand why, AJV-15 has their slopes, we have ours derived from all together different criteria; however, maybe the course could include a broad"
1575,"Didn't think this would be a helpful course, but I was wrong. I can use the information in this class for work and home"
1576,The instructors were extremely knowledgeable.
1577,Instructor was very knowledgeable and helpful and ready to work with students when problems arose.
1578,great instructors. great knowledge of industry and enroute inspections.
1579,"Chuck did a great job instructing the class and answering questions. I would like to see examples for towers, TRACONS and En Route (and add each to Student Handout 00).I have used Handout: Form 3120-1 Reference Guide the most from all the materials. This should be added to http:""in"
1580,"Excellent course. NOT just ""touchy-feely"". Enjoyed varying styles across multiple instructors. Thank you very much to all of them for an enjoyable and fun presentation of a relatively remedial topic. It SHOULD be common sense, but isn't always and there is always room to improve sk"
1581,I as leery about coming to this course. I now look forward to working with ANI on the conversion of our VOR to a Doppler VOR.
1582,the course content REALLY needs to match the handouts and examples. IT would enhance the class and reduce confusion
1583,"Instructors were great, and I normally don't like group sessions because the people don't all participate, but this class they were able to get full engagement, and it made it all the better."
1584,"Excellent lab instructors who balanced professionalism, learning, and levity to help trainees learn."
1585,"Our instructors were very knowledgeable. Our lead, Roy, always answered our questions in a timely manner and I felt took a personal interest in each of us and what we struggled with so he could better coach us in and out of the lab. Joe, our A-lead, was knowledgeable and willing to"
1586,The Instructors are Top notch well versed in the subject matter in joyed the class a lot
1587,None
1588,"Every single instructor that I worked with during non-radar was exceptional. They were all very knowledgeable. Almost every single time I would ask a question they would either know it quickly, or verify their answer with someone else. As stated before, occasionally this would brea"
1589,The course was very well designed to learn the rules of Aero Centre and apply them in such a short time. The only downside to this course was that having to remote pilot for problems took away seeing problems for the first time. It was really like only doing 13 of the 27 problems d
1590,I wish the CBI pre-req was an ELMS course or part of LAB course...
1591,very good Jim and Jim-bob got a good handle on things.
1592,The instructor was very knowledgeable and made sure every issue risen was answered in an understandable way
1593,Perhaps one of the best industry courses I have attended in the past 10 years.
1594,All instructors were very knowledgeable and patience
1595,A lot of material had to be covered prior to our 30 minute presentation. Think they did a very good job.
1596,Instructor was knowledgeable of program. A preview of future capabilities would greatly benefit. TARGETS does much more than DVA and the class should have focused on that as well.
1597,closed SatMaybe add some instruction and/or advice on techniques to deliver negative feedback to DPEs after an observation.
1598,Lead and assistant instructor were great.
1599,Both Roy Harris and Joe Stapleton were very easy to work with and explained situations and ideas very thoroughly when I had questions. They helped me throughout the beginning of the course and it seemed they both wanted nothing but success from any of their students. For problem in
1600,"Most of the skills learned at the academy will severely atrophy by the time they are used at the facility, if the training could be split up or done after being introduced and trained at the facility it could be more useful."
1601,This course was full of great content. The time frame given for all of the information was insufficient. I feel that we could have gone into more detail if we had more time.
1602,Excellent COURSE
1603,Rob Mizell is a God among men when it comes to teaching RTF. He deserves a raise. All the other instructors in the labs were extremely helpful as well.
1604,"Both of our instructors, Cecil and Mark Johnson, were extremely knowledgeable and helpful. Both of them were approachable and helped all of us to feel comfortable here."
1605,Instructors memories phrase helped. And stories connected to the lesson plan
1606,"********* Overall, the course covered a lot of material well. It prepared me for the duties of a STARS SS. The use of outdated equipment was acceptable but, at least early, there was little comparison between the G1 system and the G4 and Elite systems. As the course progressed, mor"
1607,Bill and Phillip were amazing thank you very much
1608,3120.4 over view may be a good idea. Good practices for leading a training team. More interaction on conducting Weingarten meetings.
1609,The Instructors knew a lot of the information about all the maps and procedures.
1610,"The instructors were amazing! Every single one were kind and helpful. They take pride is helping us learn and get better, which provides a great learning environment. I appreciate all of their knowledge and guidance for not only radar but air traffic control in general. Thank you f"
1611,"I think it would have benefited more students in our class if the instructors that were monitoring us in the TSS labs, would let us run the problems fully, instead of jumping in once they noticed a conflict might occur. It would help students learn what to do in those situations, s"
1612,"Fun, rewarding and challenging."
1613,It would have been helpful to know we should bring complete curriculum.
1614,Instructors did a very good job imparting the course material
1615,Some material was not up to date
1616,Good Job!
1617,GOOD
1618,"The methodology of the course was excellent, the knowledge of instructors and experience they have in Knowledge of the materials is highlighted."
1619,I really enjoyed this class and feel like it will help me in my position.
1620,Both instructors were effective and experienced for the course with plenty of knowledge from Aviation Inspector checking experience for all questions asked.
1621,"excellent, wish I would have had this course sooner."
1622,"I thought it was important point to emphasize keeping our writing skills to the point, short and sweet. Using bullet points and reference Guidance & Regulations. You can always gain more co-operation from clients keeping things professional, working together, and taking the attitud"
1623,I appreciated face time with our regional leadership in past courses but this time it was very limited. Regional Directors let us know 5 minutes before they were supposed to show that they were in OKC? More training on IPM would be appreciated.
1624,Overall good instruction and well presented.
1625,Great class!!! The references and criteria covered has greatly helped me apply what I need for my job.
1626,None
1627,good knowledge from instructors on the applicable regulations in regards to course material. good discussion on current industry environment. Good course.
1628,"Non-radar should be worth more and radar worth less. There should be a mathematical elimination process for non-radar. For example, if a student scores exceptionally low on non-radar, they shouldn't be afforded the opportunity to try radar. I think this would lessen the stress of s"
1629,Overall course was good. If you have any questions please feel free to contact me. Chris Padilla 775 224 3580
1630,"Much to absorb due to I am not a pilot or dispatcher, I did however learn more about avionics and resources. It was a great course however the pace may have been too fast for me."
1631,The material is very relevant to the course and very useful in doing my job.
1632,"Roy Harris and Joe Stapleton were excellent instructors who truly cared and provided us with the best education possible. They're also great people outside the classroom, providing the class with advice, help and snacks, fruit among other details that made the day-to-day grind more"
1633,Both instructors were wonderful
1634,It would be nice if the instructors could go over the windows based software.
1635,Being able to work with a windows based terminal would of been helpful instead of only going back to DOS.
1636,"Both Instructors were fantastic and made this material easy to understand. As a Past Instructor and facilitator, these guys have mastered the delivery. Great Job!!!!!"
1637,Rob seemed to go off topic many times
1638,"All matched perfectly, was not confused on any questions."
1639,Course is significantly longer than it needs to be. The presentations are very repetitive 3-4 lectures could easily be condensed into 1-2
1640,"The tables in this room have cover panels installed that are very easily kicked due to their proximity to our feet. Students accidentally kick these panels while adjusting their feet. This results numerous loud ""bangs"" all throughout the day. This is very distracting and is detract"
1641,The only problem with this course is the amount of material that really should be covered vs the time available.
1642,"Bob, Jeff and Lou are awesome instructors."
1643,The material was well laid out and properly presented.
1644,construction was going on at time of lessons.
1645,"Charles Heck and Justin Fortenberry are both very knowledgeable and professional.They are a good team, doing the best they can with less-than-optimal materials, classroom facility and presentation materials."
1646,Bring back EHOT/DLP reducing classes length to improve student thru-put but pushing the EHOT/DLP function on the field is the worst idea this year. If we need to increase student thru-put it is because there are not enough trained technicians in the field...now you expect the under
1647,Bring back EHOT/DLP...I can learn so much more in the Lab...my airport is extremely busy and getting a DME out of service so I can train on it is just not a reality other than between the hours of 11pm and 5am. The lab is a great controlled environment and the perfect place to lear
1648,This is the best part about schools in OKC we can experiment and try things on the lab equipment that we could never do at an active sight which really improves the learning. The instructor installed gripes are awesome tools to make me think and greatly improved my learning. There
1649,"The two students (ASIs) in attendance are already performing Airplane Evals, and thus were able to comprehend much of this training as a refresher or reinforcement of previously learned material. The pace of this course would be far too fast for a newly-hired ASI learning this mate"
1650,Charles Heck is a very knowledgeable ASI and very willing to make himself available to the needs of the students. He is both professional and personable.
1651,"Video's are out-of-date (they reference regulations that have changed)I'm guessing over a million dollars for a simulator, but not enough money to have WASS GPS approaches; that's extremely penny-wise and dollar foolish. Precision GPS approaches would better support ASI proficiency"
1652,"This is supposed to be a professional training environment.The classrooms do-not have multiple screens, thus requiring instructors to minimize programs to display other course materials. Multiple screens are needed.The instructors should have a screen at the back of the room so the"
1653,"I am a Helicopter Inspector - This course is crucial to my ability to perform flight evaluations. Unfortunately, this course does not provide an Instrument Competency Check (IPC) endorsement that would meet the requirements of 91.57(c).There is no OJC credit for this course. Why no"
1654,"The two students (ASIs) in attendance are already performing Airplane Evals, and thus were able to comprehend much of this training as a refresher or reinforcement of previously learned material. The pace of this course would be far too fast for a newly-hired ASI learning this mate"
1655,Organized well - But still far to short for a newly-minted ASI.
1656,Construction in the room next door.
1657,"The simulator-based training that evaluated the ASIs ability to effectively conduct an evaluation was extremely useful. An hour-and-a-half is not enough time for the Pre-flight Briefing, conduct a short evaluation flight, provide a Post-Flight briefing and conclude with required do"
1658,What little training that was provided was effective. This course needs to be two to three weeks to have adequately trained inspectors release to the field.
1659,The instructors were very experienced in these areas were able to cite examples that help make the topics much more meaningful to the class.
1660,The example videos were very out of date. Not all of the links in the presentations were working.
1661,There was nothing presented on Part 133 and Part 137 operations. There is a very significant need to include these areas into the course.
1662,"The course material did not devote sufficient lecture time to the EC-135 aircraft systems. This interfered with the testing of the ""applicant's"" knowledge if I did not know what they were doing incorrectly. The airplane course has extensive classroom time for TAA systems and specif"
1663,"There should have been basic POAs provided for the various types of practical, proficiency, and competency tests. This will help achieve a greater level of consistency that that upper management seeks. They could then be further refined by each ASI to meet the needs of their distri"
1664,There was not sufficient time in the EC-135 AATD to complete all of the tasks in the POA developed for each scenario.
1665,More time in the course for professional discussions would be appropriate. Much of the material is explanation centric.
1666,A few minor corrections were needed in the course books.
1667,"Some instructors were more distracting, which isn't bad because it simulates real facility feel. I think there could have been fewer distractions at the beginning of the course, though so students can concentrate on fundamentals."
1668,"I enjoyed the course very much, it is the 'bread and butter' of GA to evaluated safe airman that are going to operate in the NAS. An auditor with no airman experience will only make the NAS highly dangerous."
1669,"I don't think we needed as many super heavy a/c in the problems, maybe just 1 or 2 to see. I also think the course picked up really fast, where I think it may have been better to stay slow for the first day to solidify the concept. We also worked 2 wind problems which were great to"
1670,"Some of the functions like the min button and *P cones didn't work. They weren't necessary, but I am going from a REHOST system to STARs, so having full functionality will help me learn prior to my next facility."
1671,There were several occasions where two particular students would not stop talking over the instructors. This happened daily.
1672,"Jim the Faa instructor is very knowledgeable with this material. Both Jim and Jim Bob have a very in-depth knowledge of this system, they are able to teach in a very fluid manner since they can recall the information so well."
1673,The ventilation system was noisy and made it difficult to hear the instructor
1674,"The way in Which Faa Jim was able to teach was very understandable. He used clear terms to reinforce the information. Jim Bob is very good at explaing math, He can show through examples how to make it simple to understand."
1675,Both Jim and Jim Bob are very approachable during class and after class. During breaks they stayed in the class rooms to answer one on one questions about information that was covered before the break. they would stop class and ask if anyone had any questions during teaching which
1676,Each time and sometimes more than once the objectives would be displayed on the overhead board and written on the white board. I never at anytime wondered what what the objectives were.
1677,"the books are very well written, If I caught myself not paying attention I could read the material in the book and understand what we had just went over. I also would read the book and it would only reinforce what I had been taught by the instructors."
1678,Both Jim and Jim Bob would keep the the class free from outside talk and other issues that might distract me from learning. When others in the class would start talking about something else off topic Jim and Jim Bob would politely get stop the talk and get the class back on track.
1679,This course is very helpful with understanding a Vortac. I came into this class with very little knowledge of how a VORTAC worked and left with a great starting point to build on.
1680,Each day was very well organized with test being given in the afternoon. Labs where at good times to reinforce the material we had just learned.
1681,The order in which the material is presented is in a good order.
1682,The labs were well organized and it was nice being able to see the equipment and how it relates to what we had been talking about.
1683,The splitting of the class seemed detrimental to the conduct of the remainder of that day's lessons.
1684,"Maybe too much information right away, I do understand we only have so much time to do this though"
1685,Overall this is one of the best classes I have been to in Oklahoma in my 10 year career with the FAA. Top notch instructors like Jim and Jim bob are a very valuable assets to the FAA
1686,Labs where provided with enough time to complete the task and also ask questions during lab. I never felt rushed in Lab.
1687,Having the actual equipment and being able to touch it was a very good way to reinforce the materiel we had just learned. It was nice to have more than one system available so lab groups could be kept small.
1688,Very clear and expounded on the subject matter.
1689,Very helpful and explained the reasoning
1690,"even during after hours like at the gym, lunch time, etc."
1691,i'd request more time as a whole.
1692,"Initially, Roy Harris was slightly difficult to understand, as his teaching techniques are better suited for higher skill/knowledge level students. Once the basics of non-radar were grasped by the students, his teaching style was perfect for allowing the students to understand the"
1693,"Some instructors can appear to be a bit rude on first impression, but it's mostly a personality thing, all instructors I dealt with were extremely professional and knowledgeable about the topics being teached."
1694,"Some of the written material can be dry and hard to understand without proper context, but Instructors Roy, Joe, Jimmy and Mark were able to bring the information to an accessible level for the students."
1695,"I personally believe it would be more beneficial to have an extra week of non-radar lab practice, and take away 1 week of basics to make up for it."
1696,"As stated above, I think students would be better served with an extra week of non-radar lab practice instead of basics."
1697,The higher difficulty scenarios (after problem 13) were good at pushing students to the limit of their abilities and it promoted more learning than if the problems had been easier.
1698,"CKT 1 was a bit different than expected, compared to the End of Lesson and Block tests."
1699,"Began without covering the sop, then introduced traffic and coordination before thoroughly reviewing basic inbound and departure procedures. Earlier problems should be more difficult and paced more slowly."
1700,Having to prepare for the CKT prior to having evaluations detracted from our focus on problems.
1701,Michelle was probably the highest SME that has ever taught an Academy Level course.
1702,"A few of times the instructor displayed displeasure with when the course started and how they were not informed about the class starting. The course started with negativity. Don was not among those complaining, Don is a great asset."
1703,"Jill and Michelle made this course amazing. Their energy and positive attitudes truly made this course fun, and positive learning enviorment."
1704,See Comments in question 1
1705,during the lesson plans it would be helpful if we went over the material in a different way rather than have the class just read word for word out loud
1706,"I assume this will be helpful on the job, but I really don't know yet."
1707,"I always felt at least a step or two behind, despite studying and practicing regularly. I get the impression that I'm slower than most others, though, so it may just be me."
1708,Some topics were covered to fast.
1709,"Above and beyond Instruction, support, energy and effort by Michelle and Jill."
1710,Ap
1711,Being an FLM and attending this course will increase my ability to effectively manage our assigned designees. I learned a ton.
1712,The games really made a difference in this course as well as the incredible inspectors.
1713,some material was not updated with the Ks in front of the airport
1714,I feel like one more week of running problems would be helpful and shorten lesson time
1715,"There were times the course was moving too fast. Once the class was split in two, it was better paced, but there's a lot of material to cover for 4 days."
1716,Could have used more time for exercises
1717,"More time to run problems would be helpful. Also, having the CKT right before the non radar eval distracts us from running problems for practice."
1718,The book does not have examples that are always relevant to the problems. It would be better if the book could be tied in to running problems better.
1719,Some sections of the lesson plans could use a little more information like the 22 knot/44 knot rules section. These are actively used during non radar problems and besides the very few sentences in the sections of the lesson plan and the strip marking guide there is not much on the
1720,"We are the first class to run the ""new"" non radar problems with only 2 weeks in non radar. The problems given the first week were very slow compared to the (new) problems given the second week. I think having the really hard problems is definitely a plus but I wish we had time to r"
1721,certain students continued to sit next to each other and talk during lessons
